[worker.serial] 2026/02/23 08:12:08.721817 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:08.925333 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:08.925392 stream read error: EOF
[worker.serial] 2026/02/23 08:12:09.325966 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:09.529310 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:09.529346 stream read error: EOF
[worker.serial] 2026/02/23 08:12:09.930853 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:10.133390 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:10.133439 stream read error: EOF
[worker.serial] 2026/02/23 08:12:10.534766 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:10.737381 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:10.737422 stream read error: EOF
[worker.serial] 2026/02/23 08:12:11.138028 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:11.341391 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:11.341424 stream read error: EOF
[worker.serial] 2026/02/23 08:12:11.743433 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:11.945577 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:11.945648 stream read error: EOF
[worker.serial] 2026/02/23 08:12:12.347150 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:12.549665 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:12.549721 stream read error: EOF
[worker.serial] 2026/02/23 08:12:12.950228 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:13.153397 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:13.153436 stream read error: EOF
[worker.serial] 2026/02/23 08:12:13.554041 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:13.757378 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:13.757415 stream read error: EOF
[worker.serial] 2026/02/23 08:12:14.158818 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:14.361375 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:14.361424 stream read error: EOF
[worker.serial] 2026/02/23 08:12:14.762223 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:14.965823 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:14.965881 stream read error: EOF
[worker.serial] 2026/02/23 08:12:15.366903 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:15.569321 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:15.569369 stream read error: EOF
[worker.serial] 2026/02/23 08:12:15.970337 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:16.173314 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:16.173358 stream read error: EOF
[worker.serial] 2026/02/23 08:12:16.574591 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:16.777649 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:16.777690 stream read error: EOF
[worker.serial] 2026/02/23 08:12:17.178374 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:17.385393 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:17.385431 stream read error: EOF
[worker.serial] 2026/02/23 08:12:17.786906 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:17.989336 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:17.989383 stream read error: EOF
[worker.serial] 2026/02/23 08:12:18.390650 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:18.593429 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:18.593471 stream read error: EOF
[worker.serial] 2026/02/23 08:12:18.994786 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:19.197395 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:19.197445 stream read error: EOF
[worker.serial] 2026/02/23 08:12:19.598539 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:19.801342 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:19.801380 stream read error: EOF
[worker.serial] 2026/02/23 08:12:20.203249 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:20.405315 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:20.405358 stream read error: EOF
[worker.serial] 2026/02/23 08:12:20.805850 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:21.013406 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:21.013507 stream read error: EOF
[worker.serial] 2026/02/23 08:12:21.414191 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:21.621387 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:21.621426 stream read error: EOF
[worker.serial] 2026/02/23 08:12:22.022674 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:22.229442 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:22.229476 stream read error: EOF
[worker.serial] 2026/02/23 08:12:22.631120 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:22.833567 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:22.833604 stream read error: EOF
